elapsed_s,state,error_code,current_j1_A,current_j2_A,current_j3_A,current_j4_A,current_j5_A,current_j6_A,current_j7_A,delta_current_j1_A,delta_current_j2_A,delta_current_j3_A,delta_current_j4_A,delta_current_j5_A,delta_current_j6_A,delta_current_j7_A,torque_j1_Nm,torque_j2_Nm,torque_j3_Nm,torque_j4_Nm,torque_j5_Nm,torque_j6_Nm,torque_j7_Nm,delta_torque_j1_Nm,delta_torque_j2_Nm,delta_torque_j3_Nm,delta_torque_j4_Nm,delta_torque_j5_Nm,delta_torque_j6_Nm,delta_torque_j7_Nm
0.6261,2,0,-0.07999999821186066,-0.5149999856948853,0.04749999940395355,-0.25,0.14000000059604645,-0.9200000166893005,0.20000000298023224,-0.029999997466802597,-0.054999977350234985,0.09750000014901161,0.047500014305114746,0.0,-0.020000040531158447,0.09000000357627869,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6462,2,0,-0.07999999821186066,-0.5149999856948853,0.04749999940395355,-0.25,0.14000000059604645,-0.9200000166893005,0.20000000298023224,-0.029999997466802597,-0.054999977350234985,0.09750000014901161,0.047500014305114746,0.0,-0.020000040531158447,0.09000000357627869,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6664,2,0,-0.07999999821186066,-0.5149999856948853,0.04749999940395355,-0.25,0.14000000059604645,-0.9200000166893005,0.20000000298023224,-0.029999997466802597,-0.054999977350234985,0.09750000014901161,0.047500014305114746,0.0,-0.020000040531158447,0.09000000357627869,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6866,2,0,-0.07999999821186066,-0.5149999856948853,0.04749999940395355,-0.25,0.14000000059604645,-0.9200000166893005,0.20000000298023224,-0.029999997466802597,-0.054999977350234985,0.09750000014901161,0.047500014305114746,0.0,-0.020000040531158447,0.09000000357627869,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7067,2,0,-0.07999999821186066,-0.5149999856948853,0.04749999940395355,-0.25,0.14000000059604645,-0.9200000166893005,0.20000000298023224,-0.029999997466802597,-0.054999977350234985,0.09750000014901161,0.047500014305114746,0.0,-0.020000040531158447,0.09000000357627869,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7271,2,0,-0.07999999821186066,-0.5149999856948853,0.04749999940395355,-0.25,0.14000000059604645,-0.9200000166893005,0.20000000298023224,-0.029999997466802597,-0.054999977350234985,0.09750000014901161,0.047500014305114746,0.0,-0.020000040531158447,0.09000000357627869,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7473,2,0,-0.07999999821186066,-0.5149999856948853,0.04749999940395355,-0.25,0.14000000059604645,-0.9200000166893005,0.20000000298023224,-0.029999997466802597,-0.054999977350234985,0.09750000014901161,0.047500014305114746,0.0,-0.020000040531158447,0.09000000357627869,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7676,2,0,-0.07999999821186066,-0.5149999856948853,0.04749999940395355,-0.25,0.14000000059604645,-0.9200000166893005,0.20000000298023224,-0.029999997466802597,-0.054999977350234985,0.09750000014901161,0.047500014305114746,0.0,-0.020000040531158447,0.09000000357627869,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7878,2,0,-0.07999999821186066,-0.5199999809265137,0.05999999865889549,-0.23999999463558197,0.12999999523162842,-0.9275000095367432,0.20999999344348907,-0.029999997466802597,-0.0599999725818634,0.10999999940395355,0.057500019669532776,-0.01000000536441803,-0.027500033378601074,0.09999999403953552,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8080,2,0,-0.07999999821186066,-0.5199999809265137,0.05999999865889549,-0.23999999463558197,0.12999999523162842,-0.9275000095367432,0.20999999344348907,-0.029999997466802597,-0.0599999725818634,0.10999999940395355,0.057500019669532776,-0.01000000536441803,-0.027500033378601074,0.09999999403953552,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8282,2,0,-0.07999999821186066,-0.5199999809265137,0.05999999865889549,-0.23999999463558197,0.12999999523162842,-0.9275000095367432,0.20999999344348907,-0.029999997466802597,-0.0599999725818634,0.10999999940395355,0.057500019669532776,-0.01000000536441803,-0.027500033378601074,0.09999999403953552,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
